Image,ELO,Uncertainty,Upvotes,Downvotes
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hc3rgfd2 23e.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FRJgy5yXwAIezOF.jpg,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/fdsa34fvcx.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd4123s.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf657zhs.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf51.jfif,6.95,6.46,2,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/GGGF$RT.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfhgfrvc.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fcu6vYVWIAAXn2I.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf542.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ge52tfadasdfs.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd asd.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asggf.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FOZ8o7hWUAkyQs8.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hbv531sd.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfs 6e2.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd 4we asd.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/fdsfsdsdfs.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hg64wfa.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdasd3f sd sd .jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FWIE_NEXEAEpv9g.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/th.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FaPUgTlXkAMX88p.jpg,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/5zgdsyv.jfif,4.39,7.17,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd4ewsfasd a asd .jpg,3.69,7.16,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/dddsda34fasad.jpg,3.46,7.2,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asf561wd.jfif,3.46,7.2,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/afafs e e.jfif,3.46,7.2,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gfdg552.jfif,3.46,7.2,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gvefvd sd.jfif,3.46,7.2,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/aasdfasdf31324.jfif,3.46,7.2,1,0
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/532efa.jfif,1.64,6.04,1,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asd t4123 sd.jfif,0.05,6.26,1,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/vvfrf56zss43.jfif,-1.64,6.04,1,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/jhghg53sd.jfif,-3.46,7.2,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FQqPpuPWUAoYA0U.jpg,-3.46,7.2,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FUcqvJFWQAE7-KM.jpg,-3.46,7.2,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hbdr3d.jfif,-3.46,7.2,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/ddasd dsa 34ga.jpg,-3.46,7.2,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/542qsd.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FlA1dumWIAAT_HW.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fe5Xzz2WYAAWHQx.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asda_expression.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/a a asd asd.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/32331dasd.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fe5Xzz0XoBIgakz.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FlA1dusXkAAC22V.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfd654ewfd.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdfasf23123w.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/2rgsfasd.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdrawdf e.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdd33fa.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf31vd.webp,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/sdfsdf444.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf4d.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/4tfdasdf sa.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/fdsae d.jfif,-5.99,6.87,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/sdsd34ra.jpg,-6.22,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Ddas31.jfif,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/6zhgfds.jfif,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gf45tasd.jfif,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fb7CBBLXkAEXVdT.jpg,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgf562wd.jfif,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf6j56.jfif,-6.95,6.46,0,2
